"Date","Germany, WHOLESALE, National Average, Wheat (bread making quality), EUR/Kg","Germany, WHOLESALE, National Average, Eggs, EUR/Kg","Germany, WHOLESALE, National Average, Milk (raw), EUR/Kg","Germany, WHOLESALE, National Average, Chicken (whole), EUR/Kg"
"05/01/2024","0.22602","2.2206","0.45880000000000004","4.2416"
"04/01/2024","0.19372999999999999","2.3027","0.45880000000000004","4.245299999999999"
"03/01/2024","0.18246","2.6033","0.45990000000000003","4.229"
"02/01/2024","0.19378","2.4993000000000003","0.45659999999999995","4.22"
"01/01/2024","0.21719999999999998","2.4516","0.45890000000000003","4.2132"
"12/01/2023","0.22191999999999998","2.4643","0.4545","4.19"
"11/01/2023","0.22416999999999998","2.3875","0.4257","4.19"
"10/01/2023","0.22728","2.314","0.4133","4.1719"
"09/01/2023","0.23433","2.2279","0.4104","4.1087"
"08/01/2023","0.23859","2.0308","0.4097","4.0958"
"07/01/2023","0.22972","1.9382","0.42060000000000003","4.09"
"06/01/2023","0.22802","2.2932","0.44329999999999997","4.097300000000001"
"05/01/2023","0.22552","2.5686","0.4654","4.101"
"04/01/2023","0.24606999999999998","2.6663","0.4976","4.07"
"03/01/2023","0.26350999999999997","2.6926","0.5407000000000001","4.0394"
"02/01/2023","0.29006","2.5625999999999998","0.5865","4.0200000000000005"
"01/01/2023","0.29979","2.4683","0.5865","4.0200000000000005"
"12/01/2022","0.31665","2.4881","0.6172","4.0200000000000005"
"11/01/2022","0.33073","2.4534000000000002","0.6154999999999999","4.0200000000000005"
"10/01/2022","0.34441000000000005","2.301","0.6056","4.0097000000000005"
"09/01/2022","0.33709","1.9217","0.5859000000000001","4"
"08/01/2022","0.33532","1.7021000000000002","0.5619","4"
"07/01/2022","0.33197000000000004","1.6721000000000001","0.544","3.9671"
"06/01/2022","0.37511","1.6772","0.5173","3.94"
"05/01/2022","0.40126999999999996","1.7","0.5173","3.8332"
"04/01/2022","0.40725","1.916","0.4969","3.5513"
"03/01/2022","0.40448","1.6634","0.4798","3.4519"
"02/01/2022","0.28508999999999995","1.2938999999999998","0.4425","3.3425000000000002"
"01/01/2022","0.28716","1.1964000000000001","0.4303","3.2874000000000003"
"12/01/2021","0.29298","1.2647","0.4225","3.2197000000000005"
"11/01/2021","0.28924","1.1905","0.4107","3.1607"
"10/01/2021","0.2666","1.1794","0.39280000000000004","3.1403"
"09/01/2021","0.23341","1.1545","0.3751","3.108"
"08/01/2021","0.22883","","0.3655","3.09"
"07/01/2021","0.21127","0.9948","0.3655","3.0745"
"06/01/2021","0.22597","1.0583","0.35979999999999995","3.027"
"05/01/2021","0.24025","1.0499","0.3586","2.9768000000000003"
"04/01/2021","0.22022","1.1571","0.35960000000000003",""
"03/01/2021","0.22847","1.3209","0.3558",""
"02/01/2021","0.22300999999999999","1.2075","0.34659999999999996","2.85"
"01/01/2021","0.21775","1.0656999999999999","0.3471","2.85"
"12/01/2020","0.2028","1.0172","0.3511","2.8539"
"11/01/2020","0.20113999999999999","1.0151000000000001","0.3505","2.87"
"10/01/2020","0.19434","1.043","0.34700000000000003","2.8713"
"09/01/2020","0.18439","1.0229000000000001","0.3325","2.88"
"08/01/2020","0.17664","1.0423","0.32020000000000004","2.88"
"07/01/2020","0.18175","1.1809","0.31829999999999997","2.88"
"06/01/2020","0.18769999999999998","1.2638","0.3172","2.8847000000000005"
"05/01/2020","0.18994","1.1851","0.32520000000000004","2.8868"
"04/01/2020","0.18741999999999998","1.3313","0.34049999999999997","2.8880000000000003"
"03/01/2020","0.17972","1.4331","0.34880000000000005","2.8929000000000005"
"02/01/2020","0.18485","1.2833","0.3479","2.89"
"01/01/2020","0.18521","1.2565000000000002","0.3492","2.89"
"12/01/2019","0.17822","1.3737000000000001","0.3529","2.89"
"11/01/2019","0.17327","1.3581999999999999","0.3519","2.89"
"10/01/2019","0.17169","1.2364","0.3465","2.8857999999999997"
"09/01/2019","0.16635","1.1541","0.33880000000000005","2.88"
"08/01/2019","0.16891","1.1038","0.3301","2.88"
"07/01/2019","0.17425","1.0774","0.3293","2.88"
"06/01/2019","0.18059","1.148","0.3322","2.877"
"05/01/2019","0.18467","1.1595","0.33990000000000004","2.87"
"04/01/2019","0.18608000000000002","1.2816999999999998","0.34490000000000004","2.842"
"03/01/2019","0.18785","1.3227000000000002","0.3482","2.82"
